InsCode,Symbol,DEven,PriceFirst,PriceMax,PriceMin,PClosing,QTotTran5J,QTotCap,ZTotTran,PriceYesterday,PDrCotVal
9211775239375291,ذوب,20120324,188.96,189,189,188.96,780221,1210122771.00,43,180,188.96
9211775239375291,ذوب,20120325,198.35,198,198,198.35,1107443,1802917204.00,36,189,198.35
9211775239375291,ذوب,20120326,205.05,208,192,204.19,35810039,60005403566.00,2122,198,208.21
9211775239375291,ذوب,20120327,213.21,214,212,214.06,6474176,11372795594.00,282,204,214.31
9211775239375291,ذوب,20120328,224.66,225,225,224.66,468277,863502788.00,22,214,224.66
9211775239375291,ذوب,20120402,231.36,235,222,229.17,44896673,84433282081.00,2207,225,225.51
9211775239375291,ذوب,20120403,221.86,223,218,218.81,12919026,23208339969.00,636,229,217.72
9211775239375291,ذوب,20120404,213.45,221,213,217.11,12630819,22513323615.00,793,219,217.35
9211775239375291,ذوب,20120407,215.65,228,216,225.15,11614226,21460412902.00,718,217,225.64
9211775239375291,ذوب,20120408,231.48,236,225,235.14,22050791,42552119565.00,1314,225,229.05
9211775239375291,ذوب,20120409,235.26,239,231,234.16,6497534,12486573249.00,610,235,232.09
9211775239375291,ذوب,20120410,240.01,246,240,243.06,15758626,31431433646.00,965,234,244.28
9211775239375291,ذوب,20120411,243.67,255,242,251.46,11247915,23218055624.00,803,243,255.12
9211775239375291,ذوب,20120414,261.94,264,257,263.53,42588864,92104724466.00,2155,251,264.01
9211775239375291,ذوب,20120415,276.68,277,274,276.68,54534304,123845805584.00,1503,264,276.68
9211775239375291,ذوب,20120416,278.39,280,263,267.91,25315913,55677904722.00,2015,277,264.38
9211775239375291,ذوب,20120417,268.03,272,256,264.14,12988892,28155827948.00,1113,268,267.06
9211775239375291,ذوب,20120418,267.43,277,267,275.95,26599215,60239703908.00,1623,264,277.29
9211775239375291,ذوب,20120421,280.22,284,266,271.57,6825525,15215544505.00,804,276,268.03
9211775239375291,ذوب,20120422,266.69,268,262,264.26,4886382,10596813371.00,469,272,263.65
9211775239375291,ذوب,20120423,263.16,263,251,253.29,14799724,30770114095.00,1133,264,254.51
9211775239375291,ذوب,20120424,247.32,263,244,255.12,6179016,12938940429.00,818,253,254.02
9211775239375291,ذوب,20120428,254.63,255,242,244.28,12686141,25440808901.00,989,255,242.45
9211775239375291,ذوب,20120429,238.43,242,232,232.46,6441177,12292015498.00,356,244,232.09
9211775239375291,ذوب,20120430,231.61,238,229,234.16,8112389,15592624750.00,717,232,235.38
9211775239375291,ذوب,20120501,236.36,239,229,232.34,4328093,8252606106.00,401,234,230.27
9211775239375291,ذوب,20120502,229.05,231,225,227.83,2869438,5367139071.00,343,232,230.14
9211775239375291,ذوب,20120505,230.27,231,222,225.27,3383765,6256894461.00,363,228,223.56
